HP,Pavilion,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,6 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng,3700000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,128 GB,Còn bảo hành,Không giao hàng,15000000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,11500000
HP,Elitebook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,2900000
Asus,K series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,3800000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,AMD,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,7399000
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,256 GB,Còn bảo hành,Không giao hàng,7500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,256 GB,Còn bảo hành,Không giao hàng,3600000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng,8500000
HP,Pavilion,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng,2500000
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i9,16 GB,Onboard,512 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,25000000
Asus,FX Series/ZX Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,2300000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,< 128 GB,Còn bảo hành,Không giao hàng,4500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng,12500000
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,16 GB,Onboard,750 GB,Còn bảo hành,Không giao hàng,8000000
Acer,Aspire,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,16 GB,Onboard,750 GB,Còn bảo hành,Không giao hàng,3200000
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,NVIDIA,320 GB,Còn bảo hành,Không giao hàng,4000000
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Pentium,4 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng,3200000
Asus,ASUSPRO,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Atom,4 GB,NVIDIA,< 128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,5500000
Asus,ASUSPRO,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Atom,4 GB,NVIDIA,< 128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,6500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,2500000
HP,ProBook,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,AMD,128 GB,Còn bảo hành,Tự giao hàng,8200000
Dell,XPS,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,AMD,256 GB,Còn bảo hành,Không giao hàng,32000000
Acer,Aspire,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Pentium,2 GB,Onboard,320 GB,Còn bảo hành,Không giao hàng,2000000
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Pentium,2 GB,Onboard,320 GB,Còn bảo hành,Không giao hàng,90000
Asus,Zenbook Series,Đã sử dụng (chưa sửa chữa),19 - 20.9 inch,Intel Core i5,4 GB,NVIDIA,256 GB,Còn bảo hành,Không giao hàng,4000000
MSI,GE Series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Còn bảo hành,Không giao hàng,19000000
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,8000000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,3333000
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,500 GB,Còn bảo hành,Tự giao hàng,14500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng,9500000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng,13300000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,AMD,500 GB,Còn bảo hành,Tự giao hàng,7000000
Toshiba,Dòng Khác,Đã sử dụng (qua sửa chữa),13 - 14.9 inch,Intel Core i5,2 GB,Khác,320 GB,Còn bảo hành,Không giao hàng,1400000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng,5500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Hết bảo hành,Không giao hàng,6500000
Toshiba,Satellite Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Celeron,2 GB,Onboard,256 GB,Hết bảo hành,Không giao hàng,1200000
Toshiba,Satellite Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Celeron,2 GB,Onboard,256 GB,Hết bảo hành,Không giao hàng,20000000
Asus,ROG Strix Scar,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,17200000
Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,NVIDIA,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,9500000
Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,8199000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,NVIDIA,320 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,3200000
Toshiba,Satellite Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Không giao hàng,3800000
Dell,Inspiron,Mới,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng,20000000
HP,ZBook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,4 GB,AMD,128 GB,Còn bảo hành,Tự giao hàng,7800000
Dell,Inspiron,Mới,13 - 14.9 inch,Intel Core i5,8 GB,AMD,256 GB,Còn bảo hành,Tự giao hàng,11500000
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,AMD,256 GB,Còn bảo hành,Tự giao hàng,24000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng,5500000
Asus,K series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,128 GB,Còn bảo hành,Tự giao hàng,4200000
Dell,Inspiron,Mới,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Còn bảo hành,Tự giao hàng,24000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i7,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,3900000
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i7,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng,4950000
Dell,Precision,Đã sử dụng (chưa sửa chữa),17 - 18.9 inch,Intel Core i7,8 GB,NVIDIA,256 GB,Còn bảo hành,Không giao hàng,15500000
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,256 GB,Còn bảo hành,Không giao hàng,9800000
Asus,ROG Strix Scar,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,> 1 TB,Còn bảo hành,Không giao hàng,16800000
Asus,X series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,1 TB,Còn bảo hành,Không giao hàng,8500000
Dell,Latitude,Mới,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng,12900000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,10500000
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,14000000
Acer,Helios,Mới,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Còn bảo hành,Không giao hàng,28800000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Còn bảo hành,Không giao hàng,5950000
MSI,GP Series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Còn bảo hành,Không giao hàng,13500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng,6000000
Razer,Blade Pro,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Còn bảo hành,Tự giao hàng,47800000
